NFL_Team_Name,Color 1,c1_new,Color 2,c2_new,Color 3,c3_new,Color 4,c4_new,Color 5,c5_new
Baltimore Ravens,Purple #241773,#241773,Black #000000,#000000,Gold #9E7C0C,#9E7C0C,Red #C60C30,#C60C30,,
Cincinnati Bengals,Orange #FB4F14,#FB4F14,Black #000000,#000000,,,,,,
Cleveland Browns,Brown #311D00,#311D00,Orange #FF3C00,#FF3C00,,,,,,
Pittsburgh Steelers,Steelers Gold #FFB612,#FFB612,Black #101820,#101820,Blue #003087,#003087,Red #C60C30,#C60C30,Silver #A5ACAF,#A5ACAF
Buffalo Bills,Blue #00338D,#00338D,Red #C60C30,#C60C30,,,,,,
Miami Dolphins,Aqua #008E97,#008E97,Orange #FC4C02,#FC4C02,Blue #005778,#005778,,,,
New England Patriots,Nautical Blue #002244,#002244,Red #C60C30,#C60C30,New Century Silver #B0B7BC,#B0B7BC,,,,
New York Jets,Gotham Green #125740,#125740,Stealth Black #000000,#000000,Spotlight White #FFFFFF,#FFFFFF,,,,
Houston Texans,Deep Steel Blue #03202F,#03202F,Battle Red #A71930,#A71930,,,,,,
Indianapolis Colts,Speed Blue #002C5F,#002C5F,Gray #A2AAAD,#A2AAAD,,,,,,
Jacksonville Jaguars,Black #101820,#101820,Gold #D7A22A,#D7A22A,Dark Gold #9F792C,#9F792C,Teal #006778,#006778,,
Tennessee Titans,Titans Navy #0C2340,#0C2340,Titans Blue #4B92DB,#4B92DB,Titans Red #C8102E,#C8102E,Titans Silver #8A8D8F,#8A8D8F,,
Denver Broncos,Broncos Orange #FB4F14,#FB4F14,Broncos Navy #002244,#002244,,,,,,
Kansas City Chiefs,Red #E31837,#E31837,Gold #FFB81C,#FFB81C,,,,,,
Las Vegas Raiders,Raiders Black #000000,#000000,Raiders Silver #A5ACAF,#A5ACAF,,,,,,
Los Angeles Chargers,Powder Blue #0080C6,#0080C6,Sunshine Gold #FFC20E,#FFC20E,White #FFFFFF,#FFFFFF,,,,
Chicago Bears,Dark Navy #0B162A,#0B162A,Orange #C83803,#C83803,,,,,,
Detroit Lions,Honolulu Blue #0076B6,#0076B6,Silver #B0B7BC,#B0B7BC,Black #000000,#000000,White #FFFFFF,#FFFFFF,,
Green Bay Packers,Dark Green #203731,#203731,Gold #FFB612,#FFB612,,,,,,
Minnesota Vikings,Purple #4F2683,#4F2683,Gold #FFC62F,#FFC62F,,,,,,
Dallas Cowboys,Royal Blue #003594,#003594,Blue #041E42,#041E42,Silver #869397,#869397,Silver-Green #7F9695,#7F9695,White #FFFFFF,#FFFFFF
New York Giants,Dark Blue #0B2265,#0B2265,Red #A71930,#A71930,Gray #A5ACAF,#A5ACAF,,,,
Philadelphia Eagles,Midnight Green #004C54,#004C54,Silver (Jersey) #A5ACAF,#A5ACAF,Silver (Helmet) #ACC0C6,#ACC0C6,Black #000000,#000000,Charcoal #565A5C,#565A5C
Washington Commanders,Burgundy #5A1414,#5A1414,Gold #FFB612,#FFB612,,,,,,
Atlanta Falcons,Red #A71930,#A71930,Black #000000,#000000,Silver #A5ACAF,#A5ACAF,,,,
Carolina Panthers,Carolina Blue #0085CA,#0085CA,Black #101820,#101820,Silver #BFC0BF,#BFC0BF,,,,
New Orleans Saints,Old Gold #D3BC8D,#D3BC8D,Black #101820,#101820,,,,,,
Tampa Bay Buccaneers,Red #D50A0A,#D50A0A,Bay Orange #FF7900,#FF7900,Black #FF7900,#FF7900,Grey #B1BABF,#B1BABF,Pewter #34302B,#34302B
Arizona Cardinals,Red #97233F,#97233F,Black #000000,#000000,Yellow #FFB612,#FFB612,,,,
Los Angeles Rams,Blue #003594,#003594,Gold #FFA300,#FFA300,Dark Gold #FF8200,#FF8200,Yellow #FFD100,#FFD100,White #FFFFFF,#FFFFFF
San Francisco 49ers,49ers Red #AA0000,#AA0000,Gold #B3995D,#B3995D,,,,,,
Seattle Seahawks,College Navy #002244,#002244,Action Green #69BE28,#69BE28,Wolf Gray #A5ACAF,#A5ACAF,,,,
